_witchy-matbinbnd,,,,,,,,,,,,,,,,,
c4800_Body,,,,,,,,,,,,,,,,,
c4800_button,,,,,,,,,,,,,,,,,
c4800_Cape,,,,,,,,,,,,,,,,,
c4800_Cape_back_cloth,,,,,,,,,,,,,,,,,
c4800_Cape_cloth,,,,,,,,,,,,,,,,,
c4800_Head,,,,,,,,,,,,,,,,,
c4800_Mantle,,,,,,,,,,,,,,,,,
c4800_Mantle_cloth,,,,,,,,,,,,,,,,,
c4800_Pad,,,,,,,,,,,,,,,,,
c4800_Pad_2,,,,,,,,,,,,,,,,,
c4800_Pad_Fabric,,,,,,,,,,,,,,,,,
c4800_Pants,,,,,,,,,,,,,,,,,
c4800_Pin,,,,,,,,,,,,,,,,,
c4800_Robe,,,,,,,,,,,,,,,,,
c4800_Robe_cloth,,,,,,,,,,,,,,,,,
c4800_Scarf,,,,,,,,,,,,,,,,,
c4800_Skirt,,,,,,,,,,,,,,,,,
c4800_String,,,,,,,,,,,,,,,,,
c4800_Tooth,,,,,,,,,,,,,,,,,
c4800_Wing,,,,,,,,,,,,,,,,,
c4800_WP_gold,,,,,,,,,,,,,,,,,
c4800_WP_iron,,,,,,,,,,,,,,,,,
c9713_body,,,,,,,,,,,,,,,,,
c9757_crystal,,,,,,,,,,,,,,,,,
C[Fur],,,,,,,,,,,,,,,,,
C[Fur]_Plus1DualUV,,,,,,,,,,,,,,,,,
C[AMSN][Fujir_2UV_Fur_Test2],,,,,,,,,,,,,,,,,
C[AMSN][Layer4][RGBMask][UniqueNormal][UniqueAlpha][OverlayAlbedo][GBUV2]_ver_2,,,,,,,,,,,,,,,,,
C[AMSN][Layer4][RGBMask][UniqueNormal][UniqueAlpha][OverlayAlbedo][GBUV2]_ver_2_Cloth,,,,,,,,,,,,,,,,,
C[AMSN][Layer4][RGBMask][UniqueNormal][UniqueAlpha][OverlayAlbedo][Stitch]_ver_2,,,,,,,,,,,,,,,,,
C[AMSN][Layer4][RGBMask][UniqueNormal][UniqueAlpha][OverlayAlbedo]_ver_2,,,,,,,,,,,,,,,,,
C[AMSN][Layer4][RGBMask][UniqueNormal][UniqueAlpha]_Cloth,,,,,,,,,,,,,,,,,
C[ARSN],,,,,,,,,,,,,,,,,
C[ARSN][Layer4][RGBMask][UniqueNormal][UniqueAlpha],,,,,,,,,,,,,,,,,
C[ARSN][Layer4][RGBMask][UniqueNormal][UniqueAlpha]_Cloth,,,,,,,,,,,,,,,,,
C[ARSN]_Add,,,,,,,,,,,,,,,,,
C[ARSN]_Add_Cloth_Decal,,,,,,,,,,,,,,,,,
C[ARSN]_al,,,,,,,,,,,,,,,,,
C[ARSN]_al_Cloth,,,,,,,,,,,,,,,,,
C[ARSN]_al_Cloth_Cm,,,,,,,,,,,,,,,,,
C[ARSN]_al_Cloth_Decal,,,,,,,,,,,,,,,,,
C[ARSN]_al_d,,,,,,,,,,,,,,,,,
C[ARSN]_al_Decal,,,,,,,,,,,,,,,,,
C[ARSN]_al_tr_Cloth_Decal,,,,,,,,,,,,,,,,,
C[ARSN]_al_tr_Decal,,,,,,,,,,,,,,,,,
C[ARSN]_BumpBlend_Decal,,,,,,,,,,,,,,,,,
C[ARSN]_Cloth,,,,,,,,,,,,,,,,,
C[ARSN]_Cloth_Cm,,,,,,,,,,,,,,,,,
C[ARSN]_Cloth_Decal,,,,,,,,,,,,,,,,,
C[ARSN]_d,,,,,,,,,,,,,,,,,
C[ARSN]_Decal,,,,,,,,,,,,,,,,,
C[ARSN]_Df,,,,,,,,,,,,,,,,,
C[ARSN]_Df_Cloth,,,,,,,,,,,,,,,,,
C[ARSN]_Df_Cloth_Cm,,,,,,,,,,,,,,,,,
C[ARSN]_Df_e,,,,,,,,,,,,,,,,,
C[ARSN]_Df_e_Cloth,,,,,,,,,,,,,,,,,
C[ARSN]_Df_e_Cloth_Cm,,,,,,,,,,,,,,,,,
C[ARSN]_di,,,,,,,,,,,,,,,,,
C[ARSN]_di_Cloth,,,,,,,,,,,,,,,,,
C[ARSN]_d_tr,,,,,,,,,,,,,,,,,
C[ARSN]_e,,,,,,,,,,,,,,,,,
C[ARSN]_em,,,,,,,,,,,,,,,,,
C[ARSN]_em_al,,,,,,,,,,,,,,,,,
C[ARSN]_em_al_Glow,,,,,,,,,,,,,,,,,
C[ARSN]_em_e,,,,,,,,,,,,,,,,,
C[ARSN]_em_e_Glow,,,,,,,,,,,,,,,,,
C[ARSN]_em_Glow,,,,,,,,,,,,,,,,,
C[ARSN]_e_Cloth,,,,,,,,,,,,,,,,,
C[ARSN]_e_Cloth_Cm,,,,,,,,,,,,,,,,,
C[ARSN]_e_Cloth_Decal,,,,,,,,,,,,,,,,,
C[ARSN]_e_Decal,,,,,,,,,,,,,,,,,
C[ARSN]_e_m,,,,,,,,,,,,,,,,,
C[ARSN]_e_tr,,,,,,,,,,,,,,,,,
C[ARSN]_e_tr_Cloth_Decal,,,,,,,,,,,,,,,,,
C[ARSN]_e_tr_Decal,,,,,,,,,,,,,,,,,
C[ARSN]_m,,,,,,,,,,,,,,,,,
C[ARSN]_SSS,,,,,,,,,,,,,,,,,
C[ARSN]_SSS_Cloth,,,,,,,,,,,,,,,,,
C[ARSN]_SSS_e,,,,,,,,,,,,,,,,,
C[ARSN]_SSS_em_e_Glow,,,,,,,,,,,,,,,,,
C[ARSN]_SSS_em_Glow,,,,,,,,,,,,,,,,,
